Model,seed,n_sources,n_mixtures,n_samples,presumed_domain,SINR,SNRinp_target,SNRinp_measured,execution_time,SNR_1,SNR_2,SNR_3,SNR_4,SNR_5
PredictiveDecorrBSS,300,5,10,100000,sparse,25.207485093147277,30.0,30.007457389777493,14.42576861800626,24.132095708781854,25.782419151561413,26.516388361148202,29.06214659418026,22.932049050188
PredictiveDecorrBSS,300,5,11,100000,sparse,26.94270759366962,30.0,29.9999912216932,14.44494770100573,26.514989708564407,26.27565121133096,27.066700918944193,27.919714311731617,27.114146934801738
PredictiveDecorrBSS,300,5,12,100000,sparse,26.894024656252064,30.0,29.992931026530023,14.44290181499673,26.512725772056804,27.03206436918313,26.826558199094098,26.847022747209955,27.290206368513658
PredictiveDecorrBSS,300,5,13,100000,sparse,26.487318420017957,30.0,30.011181275956798,14.577581518009538,26.867206918360992,28.376670977512745,26.80242493109742,26.971124613250893,24.422819056018668
PredictiveDecorrBSS,400,5,7,100000,sparse,25.541773964285927,30.0,29.985708244097292,14.383525676996214,26.160792659623517,25.896139307618775,29.381568388483355,26.01181686763723,22.78089338550427
PredictiveDecorrBSS,400,5,8,100000,sparse,25.54974480848606,30.0,30.00303095168772,14.449713313020766,27.388222256069106,25.445311628538928,29.651761435549545,25.495772331904245,22.74711385666331
PredictiveDecorrBSS,400,5,9,100000,sparse,25.76511544020009,30.0,30.001079233999043,14.395609719009371,27.037529957279702,25.743825276814757,26.678869897974057,25.394249279133888,24.479941940571432
PredictiveDecorrBSS,400,5,10,100000,sparse,26.814561575785845,30.0,29.991553332299983,14.389792400004808,27.142082889908608,26.244425267437155,28.406083528407436,27.12521535038695,25.65979917538207
PredictiveDecorrBSS,400,5,11,100000,sparse,26.963269683802228,30.0,29.994187157771293,14.442611465987284,27.25167263038903,26.51047867689815,27.197428709830767,27.426422208638538,26.522656927486437
PredictiveDecorrBSS,400,5,12,100000,sparse,26.916189910881705,30.0,29.989553664619272,14.381923767999979,26.996600879044937,26.59379018345977,27.639225221281624,27.068903805122417,26.39381819634068
PredictiveDecorrBSS,400,5,13,100000,sparse,27.021567573842702,30.0,29.995965665854367,14.56991091099917,26.757659846750816,26.620536787533773,28.096657902654645,27.256066639705377,26.561806940562683
PredictiveDecorrBSS,500,5,7,100000,sparse,28.164247431295077,30.0,29.990463343367082,14.438890592980897,29.03392069022484,26.848925374670397,28.111225866600535,27.91706548503024,29.387607905856207
PredictiveDecorrBSS,500,5,8,100000,sparse,27.800352727729454,30.0,29.991809138457178,14.359436260012444,27.436043383096465,26.770009094792243,28.71702581014787,27.707003547760138,28.69137964120059
PredictiveDecorrBSS,500,5,9,100000,sparse,27.869280856023792,30.0,30.000928491767908,14.591621754021617,28.059573888620637,26.517744266585357,29.15340652786648,28.423604883517868,27.635663300439628
PredictiveDecorrBSS,500,5,10,100000,sparse,27.14474540786428,30.0,29.990703666922457,14.479659214994172,26.902956558401243,29.740837316242427,25.37547949886327,27.86641379742518,26.991108963234304
